"id","itemId","amount","saleDate"
"1","9","1","2020-04-11 12:19:38.0000"
"2","10","1","2020-04-11 12:19:38.0000"
"3","9","1","2020-04-11 12:21:12.0000"
"4","10","1","2020-04-11 12:21:12.0000"
"5","1","1","2020-04-11 12:23:18.0000"
"6","3","1","2020-04-11 12:23:18.0000"
"7","7","1","2020-04-11 12:23:18.0000"
"8","1","1","2020-04-11 12:36:21.0000"
"9","2","1","2020-04-11 12:36:21.0000"
"10","3","1","2020-04-11 12:36:21.0000"
"11","1","1","2020-04-11 12:37:00.0000"
"12","2","1","2020-04-11 12:37:00.0000"
"13","3","1","2020-04-11 12:37:00.0000"
"14","1","1","2020-04-11 12:38:58.0000"
"15","2","1","2020-04-11 12:38:58.0000"
"16","1","1","2020-04-11 12:39:03.0000"
"17","2","1","2020-04-11 12:39:03.0000"
"18","3","1","2020-04-11 12:44:52.0000"
"19","6","1","2020-04-11 12:44:52.0000"
"20","1","1","2020-04-11 15:48:38.0000"
"21","3","1","2020-04-11 15:48:38.0000"
"22","5","1","2020-04-11 15:48:38.0000"
"23","3","1","2020-04-12 15:28:31.0000"
"24","6","1","2020-04-12 15:28:31.0000"
"25","1","1","2020-04-12 15:37:41.0000"
"26","2","1","2020-04-12 15:37:41.0000"
"27","1","1","2020-04-12 17:28:52.0000"
"28","2","1","2020-04-12 17:28:52.0000"
"29","9","2","2020-04-12 19:55:50.0000"
"30","3","3","2020-04-12 20:50:49.0000"
"31","1","1","2020-04-13 11:19:10.0000"
"32","5","4","2020-04-13 11:19:10.0000"
"33","67","2","2020-04-13 12:00:00.0000"
"34","1","4","2020-04-13 14:52:21.0000"
"35","2","1","2020-04-13 14:52:21.0000"
